lakeID,DATE,TIME,Depth _m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll _RFU,phycocyaninBGA_RFU-14C102008,turbidity_Fnu,pH,orp_MV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
MHK,2024-09-25,10:19:22 AM,8.75,9.938,7.35,65,0.39,-0.11,NA,6.74,NA,91.7,0.04,60,NA,41.76789,-74.15562,385.2,733.4
MHK,2024-09-25,10:19:47 AM,9,9.77,6.95,61.3,0.54,0.01,NA,6.72,NA,91.7,0.04,60,NA,41.7679,-74.15558,378.6,733.4
MHK,2024-09-25,10:20:11 AM,9.25,9.205,6.5,56.6,0.53,0.1,NA,6.69,NA,92.4,0.04,60,NA,41.76786,-74.15562,386.4,733.4
MHK,2024-09-25,10:20:53 AM,9.5,8.734,5.32,45.8,0.37,-0.02,NA,6.63,NA,92.8,0.04,60,NA,41.76784,-74.1556,384.7,733.4
MHK,2024-09-25,10:21:15 AM,9.75,8.159,4.31,36.6,0.27,-0.08,NA,6.59,NA,93.8,0.04,61,NA,41.76783,-74.15565,389.6,733.3
MHK,2024-09-25,10:21:40 AM,10,7.6,3.44,28.8,0.22,-0.13,NA,6.56,NA,93.7,0.04,61,NA,41.76788,-74.15567,390.5,733.3
MHK,2024-09-25,10:22:04 AM,10.25,7.327,2.82,23.4,0.25,-0.07,NA,6.53,NA,94.1,0.04,61,NA,41.76787,-74.15564,388.2,733.4
MHK,2024-09-25,10:22:35 AM,10.5,7.157,2.1,17.4,0.24,-0.04,NA,6.5,NA,94.2,0.04,61,NA,41.7679,-74.15568,388.9,733.4
MHK,2024-09-25,10:22:58 AM,10.75,7.035,1.47,12.1,0.64,0.18,NA,6.48,NA,94.9,0.04,62,NA,41.76793,-74.15563,380.8,733.4
MHK,2024-09-25,10:23:37 AM,11,6.698,0.77,6.3,0.06,-0.1,NA,6.47,NA,96.5,0.05,63,NA,41.76789,-74.15563,377.3,733.4
MHK,2024-09-25,10:24:04 AM,11.25,6.534,0.57,4.7,0.08,-0.04,NA,6.46,NA,98.7,0.05,64,NA,41.76791,-74.1556,373.1,733.4
MHK,2024-09-25,10:24:31 AM,11.5,6.42,0.47,3.9,0.12,-0.02,NA,6.47,NA,100.9,0.05,66,NA,41.76792,-74.15559,370.7,733.5
MHK,2024-09-25,10:24:54 AM,11.75,6.394,0.43,3.5,0.1,-0.03,NA,6.49,NA,101.4,0.05,66,NA,41.76792,-74.15565,374.2,733.4
MHK,2024-09-25,10:25:19 AM,12,6.318,0.39,3.1,0.12,0.01,NA,6.51,NA,102.6,0.05,67,NA,41.7679,-74.1556,379.1,733.5
,,,,,,,,,,,,,,,,,,,
